"freq","class","sub_class","name","tooltip","alias","ignore"
327,"BANK",NA,"Carbon Trust","Carbon Trust","Carbon Trust",FALSE
116,"BANK",NA,"EIB","European Investment Bank","European Investment Bank|\bEIB\b",FALSE
116,"BANK",NA,"GIB","Green Investment Bank UK","Green Investment Bank|\bGIB\b",FALSE
114,"BANK",NA,"Scottish Enterprise","Scottish Enterprise","Scottish Enterprise",FALSE
76,"BANK",NA,"Vanguard","Vanguard Group Inc.","Vanguard",FALSE
71,"BANK",NA,"Capital Partners","Capital Partner Companies","Capital Partners",FALSE
68,"BANK",NA,"Finance","Finance Companies","Finance",FALSE
2984,"COM","Turbine","SGRE","Siemens Gamesa","Siemens Gamesa( Renewable Energy)?|Siemens Wind Power( Service)?|Siemens(?!=( AG| Industry| Financial))|\bSGRE\b",FALSE
2052,"COM","Developer","Orsted","Orsted/Dong","DONG Energy Wind Power|Dong Energy|\b(.rsted|DONG|Dong)\b",FALSE
943,"COM","Others","TenneT","TenneT TSO GmbH","TenneT",FALSE
883,"COM","Turbine","MHI","MHI Vestas","MHI( |-)Vestas|\bMHI\b",FALSE
569,"COM","Others","ABB","ABB Group","ABB Group|ABB Power Systems|\bABB\b",FALSE
547,"COM","NEW","E.ON","E.ON SE","E\.ON SE|E\.ON",FALSE
473,"COM","Turbine","GE","General Electric","GE Renewable Energy|(G|g)eneral (E|e)lectric|\bGE\b",FALSE
459,"COM","NEW","Van Oord","Van Oord","(V|v)an Oord",FALSE
425,"COM","Services","DNV-GL","DNV-GL Management Service","DNV( |-)GL",FALSE
409,"COM","PowerCo","RWE","RWE Innogy UK","RWE Innogy|RWE International SE|RWE Innogy UK|\bRWE\b",FALSE
355,"COM","Developer","Adwen/Areva","Adwen / Areva Wind GmbH","A(reva|dwen)( Wind)?( GmbH)?",TRUE
335,"COM","Developer","SSE","Scottish & Southern Energy","Scottish( &| and)? Southern (Energy|Electric)|\bSSE\b",FALSE
309,"COM","PowerCo","National Grid","National Grid plc.","National Grid",FALSE
277,"COM","NEW","Crown Estate","Crown Estate","Crown Estate",FALSE
276,"COM","PowerCo","EDF","EDF Energy Renewables","EDF(-| )EN|EDF( Energ(y|ies))?( Renewables)?",FALSE
268,"COM","Engineering","DEME","DEME Group","\bDEME( Group)?\b",FALSE
261,"COM","Engineering","VBMS","VolkerWessels Boskalis Marine Solutions","VolkerWessels Boskalis Marine Solutions|\bV(B|S)MS\b",FALSE
257,"COM","Engineering","Boskalis","Royal Boskalis Westminister N.V.","(Royal Boskalis )?Westminster( NV| N\.V\.)?|Boskalis",FALSE
246,"COM","NEW","Jan De Nul","Jan De Nul Group","jan de nul( group)?",TRUE
245,"COM","Cable","JDR","JDR Cable Systems","JDR Cable Systems|\bJDR\b",FALSE
232,"COM","NEW","EWE","EWE AG","\bEWE( AG\.?)?",FALSE
225,"COM","NEW","SPR","ScottishPower Renewables","Scottish ?Power Renewables|\bSPR\b",FALSE
217,"COM","Training","Maersk","Maersk Group","Maersk",FALSE
217,"COM","Engineering","GMS(L)","Global Marine Group","Global Marine( [A-Z][a-z]+)*|\bGMSL?\b",FALSE
212,"COM","Engineering","SHL","Seaway Heavy Lifting","Seaway Heavy Lifting|\bSHL\b",FALSE
209,"COM","NEW","Olsen Windcarrier","Olsen Windcarrier","Olsen Windcarrier",FALSE
173,"COM","Developer","CIP","Copenhagen Infrastructure Partners","(Copenhagen )?Infrastructure Partners|\bCIP\b",FALSE
171,"COM","Training","Carnegie","Carnegie","Carnegie",FALSE
142,"COM","Cable","NKT","NKT (Holding) A/S","\bNKT\b",FALSE
141,"COM","NEW","SOC","Siem Offshore Contractors GmbH","Siem Offshore( Contractors( GmbH )?)?|Seaway Offshore Cables|\bSOC\b",FALSE
136,"COM","NEW","RES","RES Group","RES Offshore|\bRES\b",FALSE
127,"COM","Others","OPT","Ocean Power Technologies","Ocean Power Technologies|\bOPT\b",FALSE
124,"COM","Engineering","IHC","Royal IHC","Royal IHC|\bIHC\b",FALSE
120,"COM","Engineering","Seacat Services","Seacat Services","Seacat Services",FALSE
116,"COM","Services","EMO","EMS Maritime Offshore GmbH","EMS Maritime Offshore GmbH|EMS Maritime Offshore|\bEMO\b",FALSE
116,"COM","NEW","EDP","EDP Renewable","EDP Ren\S+|\bEDPR?\b",FALSE
109,"COM","NEW","Vineyard Wind","Vineyard Wind LLC","Vineyard Wind( LLC)?",FALSE
108,"COM","Blade","LM Wind Power","LM Wind Power","LM Wind Power",FALSE
108,"COM","Developer","Shell","Shell Group","Shell",FALSE
107,"COM","NEW","BMT","BMT Group","BMT Group|\bBMT\b",FALSE
106,"COM","NEW","Siemens AG","Siemens AG","Siemens (AG|Industry|Financial Services)",FALSE
103,"COM","NEW","OMM","Offshore Marine Management","Offshore Marine Management|\bOMM\b",FALSE
102,"COM","Equipment","Pelamis","Pelamis Wave Power","Pelamis( Wave Power)?",FALSE
95,"COM","NEW","WINDEA","WINDEA OFFSHORE","W(INDEA|indea) ((O|o)ffshore)?|\bWINDEA\b",FALSE
93,"COM","Foundation","Principle Power","Principle Power","Principle Power",FALSE
93,"COM","NEW","ENGIE","ENGIE Fabricom","\bENGIE( Fabricom)?|GDF Suez|GDF SUEZ",FALSE
92,"COM","Training","AIS","Automatic Identification System","Automated Information (S|s)ystem(s)?|\bAIS\b",FALSE
92,"COM","Others","Wave Hub","Wave Hub","Wave Hub",FALSE
92,"COM","Engineering","Acta Marine","Acta Marine","Acta Marine",FALSE
90,"COM","Consultant","Natural Power","Natural Power","Natural Power",FALSE
